id_country,Year,Score,GDP,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Confidence in national government
5,2006,7.1222114560000005,10.65721226,0.936350405,70.76000214,0.9413823490000001,0.300667107,0.49011117200000004,0.497037798
5,2008,7.180953979,10.70193577,0.9345927829999999,71.08000183,0.879069269,0.289451838,0.613625228,0.257242203
5,2010,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.48644661899999997
5,2011,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.406920105
5,2012,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.376573861
5,2013,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.417099237
5,2014,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.40769541299999995
5,2015,7.07644701,10.69885254,0.9281103009999999,72.09999847,0.900305152,0.09687189,0.55747962,0.454789877
5,2016,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.43263822799999996
5,2017,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.43590793
5,2018,7.396001816,10.74189281,0.911668122,73.0,0.9041119809999999,0.051552333,0.52306056,0.488678724
7,2005,7.262290478,10.59169674,0.934874713,69.90000153,0.9238430259999999,,0.597554445,0.5517050029999999
7,2007,7.218839645,10.63641834,0.9216027859999999,70.26000214,0.900870383,0.065763429,0.721093476,0.602238297
7,2008,7.116590977,10.63632011,0.92297703,70.44000244,0.8870267270000001,0.0029979890000000004,0.651800513,0.46313706
7,2010,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.33651647
7,2011,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.289129466
7,2012,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.44011718
7,2013,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.554124534
7,2014,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.46911162100000003
7,2015,6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.459024221
7,2016,6.948936462000001,10.64741421,0.9289640779999999,71.59999847,0.865759015,-0.058440432,0.49665909999999996,0.41917750200000004
7,2017,6.928347587999999,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.5430460570000001,0.449731916
7,2018,6.89217186,10.672445300000001,0.9298155309999999,72.0,0.808386624,-0.12727834300000002,0.630411804,0.44194454
6,2005,8.01893425,10.70477009,0.9723715190000001,69.59999847,0.97113502,,0.23652170600000003,0.66868329
6,2007,7.834233284,10.74448395,0.9542011020000001,69.91999817,0.932086229,0.235315859,0.206005678,0.592505932
6,2008,7.970891953,10.73347473,0.9539117220000001,70.08000183,0.969788373,0.267412931,0.24750530699999998,0.665933907
6,2009,7.6833586689999995,10.67781448,0.93889159,70.23999786,0.949335575,0.259048522,0.205769762,0.626578152
6,2010,7.770515442000001,10.69190979,0.9749770759999999,70.40000153,0.943630815,0.23789697899999998,0.174896091,0.586689413
6,2011,7.78823185,10.70107079,0.961736143,70.62000275,0.9347601529999999,0.292957395,0.220043078,0.471823335
6,2012,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.534252763
6,2013,7.588606834,10.70469189,0.9647079709999999,71.05999756,0.920254648,0.210207686,0.170042172,0.391405106
6,2014,7.5075592989999995,10.71568489,0.956344306,71.27999878,0.941572249,0.11341865400000001,0.237218335,0.457836896
6,2015,7.5144248010000005,10.72455978,0.9597013000000001,71.5,0.94143641,0.217952549,0.191016391,0.579888642
6,2016,7.55778265,10.73620605,0.954451501,71.80000305,0.948230565,0.134531945,0.20989337600000002,0.467660695
6,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.572353303
6,2018,7.648785591,10.75559425,0.958218873,72.40000153,0.935437799,0.015592853,0.15060743699999998,0.6324784760000001
3,2005,7.093392849,10.50522804,0.940338254,71.30000305,0.89481926,,0.6878508329999999,0.324883521
3,2006,6.582700253,10.52172756,0.943929076,71.48000336,0.789120734,0.12135148,0.6992701290000001,0.361352921
3,2008,7.008064747000001,10.53524303,0.935350597,71.83999634,0.833327115,-0.035669781,0.668875813,0.452659398
3,2009,6.2834982870000005,10.50024414,0.9181585309999999,72.01999664,0.7982131840000001,-0.086386092,0.654168189,0.474448889
3,2010,6.797901154,10.51476955,0.942954779,72.19999695,0.8497021790000001,-0.108059548,0.622954249,0.401466221
3,2011,6.959185122999999,10.53051186,0.92128557,72.40000153,0.903366625,-0.106961221,0.626624525,0.375089258
3,2012,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.44062534
3,2013,6.66712141,10.52809525,0.9076908229999999,72.80000305,0.8777957559999999,-0.12892994300000002,0.6990693809999999,0.395130515
3,2014,6.466867924,10.53272915,0.877504528,73.0,0.8034741879999999,-0.122516043,0.6556374429999999,0.26380172399999996
3,2015,6.357625007999999,10.53917408,0.895719409,73.19999695,0.8170362109999999,-0.143634379,0.640602052,0.32825270300000003
3,2016,6.475208759,10.54698849,0.884922922,73.40000153,0.786780477,-0.095642865,0.622697055,0.283978164
