,country,year,Score,GDP,Social support,Healthy life expectancy,Freedom,Confidence in national government
52,Austria,2006,7.1222114560000005,10.64822578,0.936350405,70.01869965,0.9413823490000001,0.497037798
53,Austria,2008,7.180953979,10.69278336,0.9345927829999999,70.5018692,0.879069269,0.257242203
54,Austria,2010,7.302678585,10.66813183,0.9141933320000001,70.63227844,0.8959797620000001,0.48644661899999997
55,Austria,2011,7.470512867,10.69245338,0.944156826,70.98503876,0.9393556120000001,0.406920105
56,Austria,2012,7.400688647999999,10.69543934,0.9451423879999999,70.94441223,0.919703901,0.376573861
57,Austria,2013,7.498802662,10.69280529,0.9498091940000001,70.90379333,0.921734452,0.417099237
58,Austria,2014,6.9499998089999995,10.68985462,0.8989204759999999,70.86317444,0.8850268720000001,0.40769541299999995
59,Austria,2015,7.07644701,10.6913538,0.9281103009999999,70.82255554,0.900305152,0.454789877
97,Belgium,2005,7.262290478,10.58393764,0.934874713,70.09518433,0.9238430259999999,0.5517050029999999
98,Belgium,2007,7.218839645,10.62809658,0.9216027859999999,70.80735016,0.900870383,0.602238297
99,Belgium,2008,7.116590977,10.62763977,0.92297703,70.71643066,0.8870267270000001,0.46313706
100,Belgium,2010,6.853514194,10.6116724,0.930570185,71.20780182,0.806930244,0.33651647
101,Belgium,2011,7.111363888,10.61787605,0.9369554520000001,71.51950836,0.880153596,0.289129466
102,Belgium,2012,6.935122012999999,10.61212635,0.92711705,71.3420105,0.8552666309999999,0.44011718
103,Belgium,2013,7.10366106,10.60740089,0.9091861840000001,71.3420105,0.8907110690000001,0.554124534
104,Belgium,2014,6.855329037000001,10.61701012,0.9435491559999999,71.3420105,0.86095351,0.46911162100000003
105,Belgium,2015,6.904219151,10.62617779,0.885208845,71.3420105,0.869474947,0.459024221
297,Denmark,2005,8.01893425,10.69011307,0.9723715190000001,68.11341095,0.97113502,0.66868329
298,Denmark,2007,7.834233284,10.72786713,0.9542011020000001,68.42073059,0.932086229,0.592505932
