id_country,Year,Score,GDP,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Confidence in national government
5,2006,7.1222114560000005,10.64822578,0.936350405,70.01869965,0.9413823490000001,,,0.497037798
5,2008,7.180953979,10.69278336,0.9345927829999999,70.5018692,0.879069269,,,0.257242203
5,2010,7.302678585,10.66813183,0.9141933320000001,70.63227844,0.8959797620000001,,,0.48644661899999997
5,2011,7.470512867,10.69245338,0.944156826,70.98503876,0.9393556120000001,,,0.406920105
5,2012,7.400688647999999,10.69543934,0.9451423879999999,70.94441223,0.919703901,,,0.376573861
5,2013,7.498802662,10.69280529,0.9498091940000001,70.90379333,0.921734452,,,0.417099237
5,2014,6.9499998089999995,10.68985462,0.8989204759999999,70.86317444,0.8850268720000001,,,0.40769541299999995
5,2015,7.07644701,10.6913538,0.9281103009999999,70.82255554,0.900305152,,,0.454789877
5,2016,7.119,1.450382471,1.083832502,0.8056452270000001,0.543551922,0.328647077,0.21348357199999998,
5,2017,7.006,1.4869999999999999,1.46,0.815,0.568,0.316,0.221,
5,2018,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,
7,2005,7.262290478,10.58393764,0.934874713,70.09518433,0.9238430259999999,,,0.5517050029999999
7,2007,7.218839645,10.62809658,0.9216027859999999,70.80735016,0.900870383,,,0.602238297
7,2008,7.116590977,10.62763977,0.92297703,70.71643066,0.8870267270000001,,,0.46313706
7,2010,6.853514194,10.6116724,0.930570185,71.20780182,0.806930244,,,0.33651647
7,2011,7.111363888,10.61787605,0.9369554520000001,71.51950836,0.880153596,,,0.289129466
7,2012,6.935122012999999,10.61212635,0.92711705,71.3420105,0.8552666309999999,,,0.44011718
7,2013,7.10366106,10.60740089,0.9091861840000001,71.3420105,0.8907110690000001,,,0.554124534
7,2014,6.855329037000001,10.61701012,0.9435491559999999,71.3420105,0.86095351,,,0.46911162100000003
7,2015,6.904219151,10.62617779,0.885208845,71.3420105,0.869474947,,,0.459024221
7,2016,6.928999999999999,1.4253904819999998,1.052487135,0.819593668,0.513537586,0.242399335,0.26247578899999996,
7,2017,6.891,1.464,1.462,0.818,0.54,0.23199999999999998,0.251,
7,2018,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,
6,2005,8.01893425,10.69011307,0.9723715190000001,68.11341095,0.97113502,,,0.66868329
6,2007,7.834233284,10.72786713,0.9542011020000001,68.42073059,0.932086229,,,0.592505932
6,2008,7.970891953,10.71478558,0.9539117220000001,68.64054871,0.969788373,,,0.665933907
6,2009,7.683358668999999,10.65721607,0.93889159,68.77286529999999,0.949335575,,,0.626578152
6,2010,7.770515442000001,10.66889477,0.9749770759999999,69.21250153,0.943630815,,,0.586689413
6,2011,7.78823185,10.67623234,0.961736143,69.82499695,0.9347601529999999,,,0.471823335
6,2012,7.519909382000001,10.66589642,0.951437175,70.04481506,0.932627916,,,0.534252763
6,2013,7.588606834,10.65685272,0.9647079709999999,70.26463318,0.920254648,,,0.391405106
6,2014,7.507559298999999,10.66330051,0.956344306,70.48445129,0.941572249,,,0.457836896
6,2015,7.5144248010000005,10.67642689,0.9597013000000001,70.70426941,0.94143641,,,0.579888642
6,2016,7.526,1.4417843819999998,1.163744926,0.7950401309999999,0.57941258,0.361709565,0.444532186,
6,2017,7.522,1.482,1.551,0.7929999999999999,0.626,0.355,0.401,
6,2018,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,
3,2005,7.093392849,10.50214291,0.940338254,70.38739014,0.89481926,,,0.324883521
3,2006,6.582700253,10.51864243,0.943929076,70.95704651,0.789120734,,,0.361352921
3,2008,7.008064747000001,10.5321579,0.935350597,71.31040955,0.833327115,,,0.452659398
3,2009,6.2834982870000005,10.497159,0.9181585309999999,71.48602295,0.7982131840000001,,,0.474448889
3,2010,6.797901154,10.51168442,0.942954779,71.70446014,0.8497021790000001,,,0.401466221
3,2011,6.959185122999999,10.52742672,0.92128557,72.1006546,0.903366625,,,0.375089258
3,2012,6.649365425,10.52471447,0.93709743,71.97216034,0.8413203359999999,,,0.44062534
3,2013,6.66712141,10.52691746,0.9076908229999999,71.97216034,0.8777957559999999,,,0.395130515
3,2014,6.466867924,10.52445126,0.877504528,71.97216034,0.8034741879999999,,,0.26380172399999996
3,2015,6.357625007999999,10.53086185,0.895719409,71.97216034,0.8170362109999999,,,0.32825270300000003
3,2016,6.478,1.3948835130000001,1.0050801040000001,0.837949932,0.465618432,0.121603429,0.178082541,
3,2017,6.442,1.431,1.3880000000000001,0.8440000000000001,0.47,0.13,0.17300000000000001,
3,2018,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,
4,2005,6.0063099860000015,10.30297661,0.836539447,69.45642853,0.7341718079999999,,,0.48754349399999997
4,2007,6.646961212000001,10.38387585,0.8080026509999999,69.63173676,0.575308859,,,0.38142845
4,2009,6.038574696,10.33440304,0.793317616,70.28807831,0.44310784299999995,,,0.316206783
4,2010,5.839558601,10.28106594,0.8684224490000001,70.46338654,0.484110981,,,0.236502409
4,2011,5.372039795,10.18801308,0.85155499,70.76483154,0.5281259420000001,,,0.17515121399999994
4,2012,5.0963540080000005,10.11494637,0.81214112,70.67931366,0.37261042,,,0.126218989
4,2013,4.720251083,10.08833885,0.686650038,70.67931366,0.42596653100000004,,,0.143608585
4,2014,4.75623703,10.10120773,0.832333207,70.67931366,0.369156331,,,0.18829274199999999
